Party,Wingness,LGBT,BLM,Feminism,Paternal Age,Leftism,Age
Democratic,Right-wing,1,0,1,19,0,25.0
Republican,Right-wing,1,0,0,21,0,58.0
Republican,Right-wing,1,0,1,23,0,41.0
Democratic,Left-wing,1,1,1,26,1,41.0
Republican,Right-wing,0,0,1,30,0,46.0
Independent,Centrist,1,1,1,41,1,58.0
Republican,Right-wing,1,0,0,27,0,25.0
Independent,Left-wing,1,1,1,38,1,21.0
Democratic,Left-wing,1,1,1,27,1,44.0
Democratic,Left-wing,1,1,1,40,1,24.0
Republican,Right-wing,0,0,0,23,0,36.0
Republican,Right-wing,0,0,1,36,0,54.0
Republican,Right-wing,0,0,0,37,0,65.0
Republican,Right-wing,0,0,0,23,0,36.0
Independent,Right-wing,0,0,0,21,0,60.0
Libertarian,Centrist,1,0,1,39,0,23.0
Democratic,Centrist,1,1,1,43,1,46.0
Republican,Right-wing,1,0,1,33,0,33.0
Democratic,Left-wing,1,1,1,33,1,40.0
Republican,Centrist,1,0,0,50,0,60.0
Democratic,Left-wing,1,1,1,34,1,40.0
Democratic,Left-wing,1,1,1,28,1,61.0
Republican,Centrist,0,0,0,16,0,47.0
Libertarian,Left-wing,1,1,1,34,1,23.0
Democratic,Left-wing,1,1,1,28,1,35.0
I don’t  vote,Right-wing,0,0,1,29,0,64.0
Independent,Right-wing,0,0,0,34,0,22.0
Republican,Right-wing,1,0,1,29,0,58.0
Democratic,Left-wing,1,1,1,23,1,32.0
Democratic,Left-wing,1,1,1,31,1,42.0
Democratic,Left-wing,1,1,1,29,1,43.0
Independent,Left-wing,1,1,1,29,1,47.0
Republican,Centrist,1,0,0,20,0,41.0
Republican,Centrist,0,0,0,27,0,53.0
Republican,Right-wing,1,0,0,37,0,30.0
Independent,Left-wing,1,0,1,28,0,26.0
Democratic,Centrist,0,0,0,21,0,29.0
Democratic,Right-wing,0,0,0,32,0,62.0
Democratic,Left-wing,1,1,1,29,1,53.0
Republican,Right-wing,1,0,1,20,0,59.0
Independent,Centrist,0,0,0,29,0,57.0
Republican,Right-wing,1,1,1,50,1,20.0
Independent,Left-wing,1,1,0,30,0,45.0
Republican,Right-wing,0,0,0,31,0,27.0
Democratic,Left-wing,1,1,1,38,1,41.0
Democratic,Left-wing,1,1,1,27,1,26.0
Republican,Centrist,0,0,0,28,0,54.0
Democratic,Left-wing,1,0,1,32,0,44.0
Independent,Left-wing,1,1,1,19,1,38.0
Democratic,Left-wing,1,1,1,45,1,24.0
Independent,Right-wing,0,0,0,23,0,67.0
Republican,Right-wing,1,1,1,22,1,20.0
Republican,Centrist,1,1,1,34,1,64.0
Republican,Right-wing,1,0,1,30,0,34.0
Independent,Centrist,1,0,0,31,0,59.0
Independent,Left-wing,1,1,1,21,1,21.0
Democratic,Left-wing,1,1,1,40,1,24.0
Republican,Centrist,1,1,1,17,1,35.0
Democratic,Left-wing,1,1,1,20,1,46.0
Republican,Right-wing,0,0,0,20,0,64.0
Republican,Right-wing,1,0,0,41,0,31.0
Independent,Right-wing,1,0,1,35,0,21.0
Democratic,Left-wing,1,0,1,22,0,46.0
Republican,Right-wing,0,0,0,29,0,52.0
Independent,Centrist,0,0,1,21,0,52.0
Independent,Left-wing,1,1,1,18,1,23.0
Democratic,Centrist,1,1,1,37,1,58.0
Democratic,Right-wing,1,1,1,35,1,59.0
Republican,Right-wing,1,0,1,19,0,39.0
Independent,Centrist,0,0,0,39,0,29.0
Republican,Right-wing,0,0,0,24,0,45.0
Democratic,Left-wing,1,1,1,30,1,38.0
Republican,Right-wing,0,0,0,38,0,33.0
Republican,Right-wing,0,0,0,38,0,46.0
Republican,Right-wing,0,0,0,30,0,40.0
Republican,Right-wing,1,0,1,26,0,26.0
Independent,Centrist,1,0,1,34,0,27.0
Republican,Right-wing,1,1,1,30,1,24.0
Republican,Right-wing,0,0,0,20,0,65.0
Democratic,Centrist,1,1,1,28,1,46.0
